Post ID,Project Name,Source,Categories
510,Support high potential students in developing world,SDG_projects,"Education & Digital Literacy,Youth Capacity Building & Leadership"
511,Mobile software fighting HIV/AIDS and STIs,SDG_projects,"Health & Wellbeing,Innovation & Technology for Development"
512,Non-formal education by multi-grade teaching,SDG_projects,"Education & Digital Literacy"
513,Ending Poverty Restoring Dignity,SDG_projects,"Economic Equality & Livelihoods,Social Justice & Human Rights"
514,Transforming farmers lives - grain production,SDG_projects,"Economic Equality & Livelihoods"
515,Broad Class - distance education program,SDG_projects,"Education & Digital Literacy"
516,Domestic cooking oil as renewable fuel for education,SDG_projects,"Climate Action & Environmental Sustainability,Education & Digital Literacy"
517,Prison walls can only confine - education in prisons,SDG_projects,"Education & Digital Literacy,Social Justice & Human Rights"
518,Providing Mozambican with free health information,SDG_projects,"Health & Wellbeing,Democracy & Civic Participation"
519,Linking Africa's Women to Training Coaching Funding,SDG_projects,"Women's Economic Empowerment,Youth Capacity Building & Leadership"
520,Grandmothers - abundant resource for social change,SDG_projects,"Youth Capacity Building & Leadership,Cultural Preservation & Social Cohesion"
521,Hands-on extracurricular STEM program,SDG_projects,"Education & Digital Literacy,Youth Capacity Building & Leadership"
522,Accelerating women's leadership globally,SDG_projects,"Women's Economic Empowerment,Youth Capacity Building & Leadership"
523,Better training - better teaching,SDG_projects,"Education & Digital Literacy"
524,Improving Wellbeing of Infants and Children,SDG_projects,"Health & Wellbeing,Social Justice & Human Rights"
525,Youths for Sustainable Development,SDG_projects,"Youth Capacity Building & Leadership,Localizing SDGs & Community Development"
526,High Atlas Foundation - inter-religious partnerships,SDG_projects,"Peacebuilding & Conflict Resolution,Cultural Preservation & Social Cohesion"
527,High rate of illiterate women and girls,SDG_projects,"Education & Digital Literacy,Women's Economic Empowerment"
528,Changing Lives 30 Minutes at a Time,SDG_projects,"Education & Digital Literacy,Youth Capacity Building & Leadership"
529,Providing innovative dignified community shelter,SDG_projects,"Social Justice & Human Rights,Peacebuilding & Conflict Resolution"
530,Establishing national health communications networks,SDG_projects,"Health & Wellbeing,Democracy & Civic Participation"
531,Associate 2 Transform and Excel,SDG_projects,"Education & Digital Literacy,Social Justice & Human Rights"
532,Preferential points voting identification,SDG_projects,"Democracy & Civic Participation"
533,Waste Project Facilitator - financial mechanism,SDG_projects,"Climate Action & Environmental Sustainability,Economic Equality & Livelihoods"
534,National Integrity Alliance - corruption reduction,SDG_projects,"Social Justice & Human Rights,Democracy & Civic Participation"
535,Zimba Automatic Chlorine Doser,SDG_projects,"Health & Wellbeing,Climate Action & Environmental Sustainability,Innovation & Technology for Development"
536,Comprehensive open-source interactive knowledge platform,SDG_projects,"Innovation & Technology for Development"
537,Sustainable environmental energy efficient solar solutions,SDG_projects,"Climate Action & Environmental Sustainability"
538,Enhanced resilience to climate change,SDG_projects,"Climate Action & Environmental Sustainability"
539,Home based horticulture - desert community health,SDG_projects,"Health & Wellbeing,Economic Equality & Livelihoods"
540,Edukasyon - education portal for ASEAN students,SDG_projects,"Education & Digital Literacy,Youth Capacity Building & Leadership"
541,Socialgiver - social projects funding platform,SDG_projects,"Innovation & Technology for Development,Economic Equality & Livelihoods"
542,Poverty Alleviation Through Education,SDG_projects,"Education & Digital Literacy,Economic Equality & Livelihoods"
543,Aquatic weed - prosperity opportunity,SDG_projects,"Climate Action & Environmental Sustainability,Economic Equality & Livelihoods"
544,Building healthy homes from ground up,SDG_projects,"Social Justice & Human Rights,Climate Action & Environmental Sustainability"
545,Rural digital inclusion - Africa's education catalyst,SDG_projects,"Education & Digital Literacy,Localizing SDGs & Community Development"
546,Convening youth to act on climate change,SDG_projects,"Climate Action & Environmental Sustainability,Youth Capacity Building & Leadership"
547,Building Capacity for Sustainable International Health,SDG_projects,"Health & Wellbeing"
548,Table Banking - self help strategy for rural women,SDG_projects,"Women's Economic Empowerment,Economic Equality & Livelihoods"
549,Youth preparation for trade and entrepreneurship,SDG_projects,"Youth Capacity Building & Leadership,Economic Equality & Livelihoods"
550,Innovate without limits - primary education,SDG_projects,"Education & Digital Literacy,Youth Capacity Building & Leadership"
551,Animal Assisted Therapy for Special Needs Children,SDG_projects,"Health & Wellbeing,Social Justice & Human Rights"
552,Peace Boat - transformation program,SDG_projects,"Peacebuilding & Conflict Resolution,Youth Capacity Building & Leadership"
553,Encouraging young women to start careers,SDG_projects,"Women's Economic Empowerment,Youth Capacity Building & Leadership"
554,Community access to services and utilities,SDG_projects,"Localizing SDGs & Community Development"
555,Developing world's first innovation with Imperial College,SDG_projects,"Innovation & Technology for Development"
556,Water Purification using natural plant fibres,SDG_projects,"Health & Wellbeing,Climate Action & Environmental Sustainability"
557,Safe Drinking Water for All,SDG_projects,"Health & Wellbeing,Climate Action & Environmental Sustainability"
558,Connected solar-powered irrigation system,SDG_projects,"Climate Action & Environmental Sustainability,Economic Equality & Livelihoods"
559,No Filipino should be hungry,SDG_projects,"Economic Equality & Livelihoods,Health & Wellbeing"
560,User friendly app for citizens to track public spending,SDG_projects,"Democracy & Civic Participation,Innovation & Technology for Development"
561,mHealth app for MNCH outcomes in remote regions,SDG_projects,"Health & Wellbeing,Innovation & Technology for Development"
562,Breaking Walls - connecting youth,SDG_projects,"Youth Capacity Building & Leadership,Peacebuilding & Conflict Resolution"
563,From Conflict Zones to Innovation Zones,SDG_projects,"Innovation & Technology for Development,Peacebuilding & Conflict Resolution"
564,Mitigating maternal infant mortality at childbirth,SDG_projects,"Health & Wellbeing,Women's Economic Empowerment"
565,Smart Collaborating Hubs for Massive Change,SDG_projects,"Innovation & Technology for Development,Youth Capacity Building & Leadership"
566,Sustainability hub - measure progress on local SDGs,SDG_projects,"Localizing SDGs & Community Development"
567,Forums for child-led action for SDGs,SDG_projects,"Youth Capacity Building & Leadership,Localizing SDGs & Community Development"
568,Environmental resilience development,SDG_projects,"Climate Action & Environmental Sustainability"
569,Promoting distribution of safe quality medicines,SDG_projects,"Health & Wellbeing"
570,SOS Sustainable Tourism for Mexico,SDG_projects,"Localizing SDGs & Community Development,Economic Equality & Livelihoods"
571,Mobile Phone Education for Adolescent Refugees,SDG_projects,"Education & Digital Literacy,Migration Displacement & Refugee Support"
572,Objective Zero - addressing international challenges,SDG_projects,"Innovation & Technology for Development"
573,NCDO - first step to address challenges,SDG_projects,"Education & Digital Literacy"
574,Empowering just global economy - transparency,SDG_projects,"Economic Equality & Livelihoods,Social Justice & Human Rights"
575,Reversing CO2 - soil creation,SDG_projects,"Climate Action & Environmental Sustainability"
576,Mobile Education for low end smart devices,SDG_projects,"Education & Digital Literacy"
577,Power of Cooperation in Digital Era,SDG_projects,"Innovation & Technology for Development,Democracy & Civic Participation"
578,Solarstills - cheap sustainable water purification,SDG_projects,"Climate Action & Environmental Sustainability,Health & Wellbeing"
579,Looking back and within,SDG_projects,"Education & Digital Literacy"
580,Fight Hunger First Initiative,SDG_projects,"Economic Equality & Livelihoods,Health & Wellbeing"
581,Water reuse IWRM SDGs,SDG_projects,"Climate Action & Environmental Sustainability"
582,CGM detects malnutrition using AR,SDG_projects,"Health & Wellbeing,Innovation & Technology for Development"
583,Community Road water harvesting,SDG_projects,"Climate Action & Environmental Sustainability,Economic Equality & Livelihoods"
584,Solar Power Cooker,SDG_projects,"Climate Action & Environmental Sustainability"
585,Engagement for Inclusion and Equity,SDG_projects,"Social Justice & Human Rights,Education & Digital Literacy"
586,Tracking progress - inspiring local action,SDG_projects,"Localizing SDGs & Community Development"
587,Social Economy Enterprise experience,SDG_projects,"Economic Equality & Livelihoods"
588,Quality local content of global change data,SDG_projects,"Innovation & Technology for Development,Localizing SDGs & Community Development"
589,Sustainable Education Model for Rural Empowerment,SDG_projects,"Education & Digital Literacy,Economic Equality & Livelihoods"
590,Agricultural e-marketplace Solution,SDG_projects,"Innovation & Technology for Development,Economic Equality & Livelihoods"
591,Skill acquisition empowerment education,SDG_projects,"Education & Digital Literacy,Social Justice & Human Rights"
592,Addressing pollution and environmental issues,SDG_projects,"Climate Action & Environmental Sustainability"
593,Using hashtag to create developmental solutions,SDG_projects,"Innovation & Technology for Development,Democracy & Civic Participation"
594,Improving peoples lives through research,SDG_projects,"Innovation & Technology for Development"
595,Protos - clean plant oil cooking stove,SDG_projects,"Climate Action & Environmental Sustainability"
596,Application solutions for pre-harvest efficiency,SDG_projects,"Innovation & Technology for Development,Economic Equality & Livelihoods"
597,Community run for-profit social enterprise design,SDG_projects,"Economic Equality & Livelihoods,Social Justice & Human Rights"
598,Nutritional Feeding of Plants will Feed World,SDG_projects,"Climate Action & Environmental Sustainability,Economic Equality & Livelihoods"
599,Nigeria food security challenges solution,SDG_projects,"Economic Equality & Livelihoods,Health & Wellbeing"
600,Rice farming innovation,SDG_projects,"Economic Equality & Livelihoods"
601,UN 2018 Revision World Urbanization,SDG_projects,"Localizing SDGs & Community Development"
602,Inclusive value chains for emerging markets,SDG_projects,"Economic Equality & Livelihoods"
603,Equipping women non-binary and minorities with skills,SDG_projects,"Women's Economic Empowerment,Education & Digital Literacy"
604,Bringing hope through light literacy technology,SDG_projects,"Education & Digital Literacy,Climate Action & Environmental Sustainability,Humanitarian Aid"
605,SEEDSTEM empowers deprived young girls,SDG_projects,"Women's Economic Empowerment,Education & Digital Literacy"
606,Litterati - community empowering to clean planet,SDG_projects,"Climate Action & Environmental Sustainability"
607,BenefitsCheckUp helps older adults,SDG_projects,"Social Justice & Human Rights,Health & Wellbeing"
608,Sahara occidental - political solution,SDG_projects,"Peacebuilding & Conflict Resolution,Social Justice & Human Rights"
609,Sahara occidental independence,SDG_projects,"Peacebuilding & Conflict Resolution,Social Justice & Human Rights"
610,Enabling students scholars experts for global participation,SDG_projects,"Education & Digital Literacy,Youth Capacity Building & Leadership"
611,Women Techsters Initiative - digital technology knowledge,SDG_projects,"Women's Economic Empowerment,Education & Digital Literacy"
612,Young students lacking financial educational resources,SDG_projects,"Education & Digital Literacy,Youth Capacity Building & Leadership"
613,Syrian diaspora for social reconstruction,SDG_projects,"Peacebuilding & Conflict Resolution,Social Justice & Human Rights"
614,AID Monitor - humanitarian aid platform,SDG_projects,"Innovation & Technology for Development,Humanitarian Aid"
615,Moms and children experiencing homelessness,SDG_projects,"Social Justice & Human Rights,Health & Wellbeing"
621,Anjiro Initiative,SDG_projects,"Social Justice & Human Rights"
634,Green house gas emission - farmer involvement,SDG_projects,"Climate Action & Environmental Sustainability,Economic Equality & Livelihoods"
640,Indonesia natural resources potential,SDG_projects,"Climate Action & Environmental Sustainability"
642,Community gardening malnutrition reduction,SDG_projects,"Health & Wellbeing,Economic Equality & Livelihoods"
644,Aspirinovation - business solutions,SDG_projects,"Innovation & Technology for Development,Economic Equality & Livelihoods"
647,Addressing children marginalization in communities,SDG_projects,"Education & Digital Literacy,Social Justice & Human Rights"
652,Osewan Community School and Delivering Dignity,SDG_projects,"Education & Digital Literacy,Gender Equality & Women's Rights,Health & Wellbeing"
654,PeaceFul Jammu and Kashmir,SDG_projects,"Peacebuilding & Conflict Resolution"
665,Grains of Hope Mobilisation - afforestation,SDG_projects,"Climate Action & Environmental Sustainability,Economic Equality & Livelihoods"
666,Domestic violence prevention,SDG_projects,"Gender Equality & Women's Rights,Social Justice & Human Rights"
667,Maisiaya Enkai Naishu Foundation,SDG_projects,"Social Justice & Human Rights,Economic Equality & Livelihoods"
683,Road to 5 billion trees,SDG_projects,"Climate Action & Environmental Sustainability"
684,Eradicating Poverty in Africa,SDG_projects,"Economic Equality & Livelihoods,Social Justice & Human Rights"
689,Climate change advocacy - tree planting,SDG_projects,"Climate Action & Environmental Sustainability,Youth Capacity Building & Leadership"
694,Malawi Work Camp Association for SDGs,SDG_projects,"Climate Action & Environmental Sustainability,Localizing SDGs & Community Development"
703,Thriving Child - child rights organization,SDG_projects,"Social Justice & Human Rights,Education & Digital Literacy"
709,Statistical profession integrity and competence,SDG_projects,"Innovation & Technology for Development,Localizing SDGs & Community Development"
711,Land degradation water depletion,SDG_projects,"Climate Action & Environmental Sustainability"
714,Food security and climate crisis,SDG_projects,"Climate Action & Environmental Sustainability,Economic Equality & Livelihoods"
717,Youth Enterprise Development Innovation Society,SDG_projects,"Youth Capacity Building & Leadership,Economic Equality & Livelihoods"
720,Global ambitions local SDG solutions,SDG_projects,"Localizing SDGs & Community Development"
733,Leadership development opportunities,SDG_projects,"Youth Capacity Building & Leadership"
735,River pollution - agricultural practices,SDG_projects,"Climate Action & Environmental Sustainability"
736,Gachororo Solar Electrification Project,SDG_projects,"Climate Action & Environmental Sustainability,Education & Digital Literacy"
737,Primacy Youth Development Initiative,SDG_projects,"Youth Capacity Building & Leadership,Economic Equality & Livelihoods,Education & Digital Literacy"
740,Loans for sustainable projects,SDG_projects,"Economic Equality & Livelihoods"
742,Agroecology and climate resilience training,SDG_projects,"Climate Action & Environmental Sustainability,Economic Equality & Livelihoods"
743,Women's clean cooking fuel choices,SDG_projects,"Women's Economic Empowerment,Climate Action & Environmental Sustainability"
746,Skillspire - empowering women underrepresented,SDG_projects,"Women's Economic Empowerment,Education & Digital Literacy"
747,Water scarcity solutions Algarve,SDG_projects,"Climate Action & Environmental Sustainability,Health & Wellbeing"
748,Better education all levels,SDG_projects,"Education & Digital Literacy"
750,Declining interest in farming solution,SDG_projects,"Economic Equality & Livelihoods,Youth Capacity Building & Leadership"
751,Declining interest in farming solution,SDG_projects,"Economic Equality & Livelihoods,Youth Capacity Building & Leadership"
752,Declining interest in farming solution,SDG_projects,"Economic Equality & Livelihoods,Youth Capacity Building & Leadership"
753,Declining interest in farming solution,SDG_projects,"Economic Equality & Livelihoods,Youth Capacity Building & Leadership"
754,Declining interest in farming solution,SDG_projects,"Economic Equality & Livelihoods,Youth Capacity Building & Leadership"
760,Transition Training for Special Needs,SDG_projects,"Education & Digital Literacy,Social Justice & Human Rights"
761,Ending child marriages through girl enrollment,SDG_projects,"Gender Equality & Women's Rights,Education & Digital Literacy"
765,APPGM Impact Evaluation project,SDG_projects,"Localizing SDGs & Community Development"
769,Youth Capacity Building in ICT and Agriculture,SDG_projects,"Education & Digital Literacy,Youth Capacity Building & Leadership,Economic Equality & Livelihoods"
772,Harm reduction traveling theater program,SDG_projects,"Health & Wellbeing,Social Justice & Human Rights,Cultural Preservation & Social Cohesion"
776,Mango Tree Learning and Skills for Life,SDG_projects,"Education & Digital Literacy,Social Justice & Human Rights"
777,FEMECO sustainable hygiene products,SDG_projects,"Climate Action & Environmental Sustainability,Women's Economic Empowerment"
778,Women peacebuilding Mandera County,SDG_projects,"Gender Equality & Women's Rights,Peacebuilding & Conflict Resolution"
780,Innovative Public Private Partnership Model,SDG_projects,"Innovation & Technology for Development,Economic Equality & Livelihoods"
781,MY World Mexico Hub of Action,SDG_projects,"Localizing SDGs & Community Development"
782,Mali deforestation issue,SDG_projects,"Climate Action & Environmental Sustainability"
783,Somos OceanoS - Ocean research,SDG_projects,"Climate Action & Environmental Sustainability"
784,Onewater - ocean and youth empowerment,SDG_projects,"Climate Action & Environmental Sustainability,Youth Capacity Building & Leadership"
785,ScaleUp 2025 entrepreneurship acceleration,SDG_projects,"Youth Capacity Building & Leadership,Economic Equality & Livelihoods"
786,ScaleUp entrepreneurship acceleration program,SDG_projects,"Youth Capacity Building & Leadership,Economic Equality & Livelihoods"
787,Youth Doors 3 comprehensive youth development,SDG_projects,"Youth Capacity Building & Leadership,Education & Digital Literacy,Health & Wellbeing"
788,Al-Raaei - university information platform,SDG_projects,"Innovation & Technology for Development,Education & Digital Literacy"
789,Sign - facilitating deaf communication,SDG_projects,"Innovation & Technology for Development,Social Justice & Human Rights"
790,Children of the Sun Day,SDG_projects,"Cultural Preservation & Social Cohesion,Social Justice & Human Rights"
791,Saiyar - at-risk children support,SDG_projects,"Social Justice & Human Rights,Education & Digital Literacy"
792,Youth-led deaf community support,SDG_projects,"Social Justice & Human Rights,Youth Capacity Building & Leadership"
793,SoleFamily - Bali impactful non-profit,SDG_projects,"Social Justice & Human Rights,Health & Wellbeing"
620,Office of the Youth in Maritime,un_civic_2024,"Youth Capacity Building & Leadership,Localizing SDGs & Community Development"
622,Vision New Jersey 2030,un_civic_2024,"Localizing SDGs & Community Development"
623,Project Rocky Mountain Region,un_civic_2024,"Localizing SDGs & Community Development"
626,Anjiro Initiative,un_civic_2024,"Social Justice & Human Rights"
627,Sustainable action - local food production,un_civic_2024,"Climate Action & Environmental Sustainability,Economic Equality & Livelihoods,Localizing SDGs & Community Development"
628,Faraja Foundation - human rights approach,un_civic_2024,"Social Justice & Human Rights,Peacebuilding & Conflict Resolution"
629,Envirosisal - biodegradable shoe wear,un_civic_2024,"Climate Action & Environmental Sustainability"
630,Ovatech - poultry productivity innovation,un_civic_2024,"Innovation & Technology for Development,Economic Equality & Livelihoods"
631,Analitica VNR,un_civic_2024,"Democracy & Civic Participation,Localizing SDGs & Community Development"
632,Planting Indigenous Trees,un_civic_2024,"Climate Action & Environmental Sustainability"
633,Green Building Land Restoration NbS,un_civic_2024,"Climate Action & Environmental Sustainability"
635,Empowering Local Civil Society Organizations,un_civic_2024,"Localizing SDGs & Community Development,Youth Capacity Building & Leadership"
636,Delivery Agency to Women and Girls,un_civic_2024,"Women's Economic Empowerment,Social Justice & Human Rights"
637,Lighting Up Lives - Solar Bulb Initiative,un_civic_2024,"Climate Action & Environmental Sustainability"
638,UNA ET Addis Ababa University Chapter,un_civic_2024,"Education & Digital Literacy,Youth Capacity Building & Leadership"
639,Empowering Local Civil Society Organizations,un_civic_2024,"Localizing SDGs & Community Development,Youth Capacity Building & Leadership"
641,Jeunesse pour la paix et la démocratie,un_civic_2024,"Youth Capacity Building & Leadership,Peacebuilding & Conflict Resolution,Democracy & Civic Participation"
643,Climate maintenance and forest management,un_civic_2024,"Climate Action & Environmental Sustainability"
645,Hembuskan Harapan Campaign - anti-smoking,un_civic_2024,"Health & Wellbeing,Climate Action & Environmental Sustainability"
646,Empowering Future Leaders - Education,un_civic_2024,"Education & Digital Literacy,Youth Capacity Building & Leadership"
648,Empowering Future Leaders - Education,un_civic_2024,"Education & Digital Literacy,Youth Capacity Building & Leadership"
649,Social justice,un_civic_2024,"Social Justice & Human Rights,Economic Equality & Livelihoods"
650,Smart School Digitization with NFC IDs,un_civic_2024,"Innovation & Technology for Development,Education & Digital Literacy"
651,Lower Yoni Farmers Project,un_civic_2024,"Economic Equality & Livelihoods,Localizing SDGs & Community Development"
653,Climate innovation Challenge,un_civic_2024,"Youth Capacity Building & Leadership,Education & Digital Literacy,Climate Action & Environmental Sustainability"
655,Aid for trade,un_civic_2024,"Economic Equality & Livelihoods,Localizing SDGs & Community Development"
656,Ethiopian Youth Communication Center,un_civic_2024,"Education & Digital Literacy,Youth Capacity Building & Leadership"
657,Empower India - Communities for Futures,un_civic_2024,"Education & Digital Literacy,Social Justice & Human Rights,Localizing SDGs & Community Development"
658,FOOD FOR NATION FOOD FOR ALL,un_civic_2024,"Economic Equality & Livelihoods,Health & Wellbeing"
659,The Greenprint project,un_civic_2024,"Climate Action & Environmental Sustainability"
660,Greening Kajiado county,un_civic_2024,"Climate Action & Environmental Sustainability,Economic Equality & Livelihoods"
661,Economic development board association,un_civic_2024,"Education & Digital Literacy,Women's Economic Empowerment,Youth Capacity Building & Leadership,Innovation & Technology for Development"
662,LMGlobal Virtual Panel - ICTs,un_civic_2024,"Innovation & Technology for Development,Education & Digital Literacy"
663,Green Eco-Tech Park for SDGs,un_civic_2024,"Innovation & Technology for Development,Education & Digital Literacy,Climate Action & Environmental Sustainability,Localizing SDGs & Community Development"
664,Enhancing Women Economic Conditions,un_civic_2024,"Women's Economic Empowerment,Social Justice & Human Rights"
668,Campaign to achieve SDGs in Zambia,un_civic_2024,"Localizing SDGs & Community Development"
670,Klimate ad tool - education,un_civic_2024,"Education & Digital Literacy,Climate Action & Environmental Sustainability"
671,Community Story telling through visuals,un_civic_2024,"Social Justice & Human Rights,Economic Equality & Livelihoods"
672,Mental health,un_civic_2024,"Health & Wellbeing"
673,Global Enviro-Action,un_civic_2024,"Climate Action & Environmental Sustainability,Youth Capacity Building & Leadership"
674,SARVE Initiative,un_civic_2024,"Peacebuilding & Conflict Resolution,Social Justice & Human Rights"
675,Fight GBV and Education of Victims,un_civic_2024,"Gender Equality & Women's Rights,Education & Digital Literacy,Social Justice & Human Rights"
676,Solidarité en Action,un_civic_2024,"Peacebuilding & Conflict Resolution,Social Justice & Human Rights"
677,25 Chicken per 1 Disabled,un_civic_2024,"Social Justice & Human Rights,Economic Equality & Livelihoods"
678,Jeunesse au centre du changement,un_civic_2024,"Youth Capacity Building & Leadership,Education & Digital Literacy"
679,Blood Connect,un_civic_2024,"Health & Wellbeing,Innovation & Technology for Development"
680,SLUM ECONOMIC EMPOWERMENT,un_civic_2024,"Economic Equality & Livelihoods,Social Justice & Human Rights"
681,Empowering Youth in Kakuma Refugee Camp,un_civic_2024,"Youth Capacity Building & Leadership,Migration Displacement & Refugee Support,Education & Digital Literacy"
682,Empower Sierra Leone,un_civic_2024,"Social Justice & Human Rights,Education & Digital Literacy"
